Iteration,State,Element,Variance2
0,1,-98.9449,1000
0,2,-48.2451,1000
1,1,-100.498,4552876620.9122819900512695
1,2,-42.3436,109743040467.1602783203125000
2,1,-100.498,133434.2060925106925424
2,2,-42.3436,3049319.0853954483754933
3,1,-100.498,142654.0933194421231747
3,2,-42.3436,3052925.8274525911547244
4,1,-100.498,145579.7328720216173679
4,2,-42.3436,3057710.0225307042710483
