0.750000,-15.038381,-15.010660,-15.038040
0.910714,-15.379441,-15.354096,-15.379165
1.071429,-15.533944,-15.507179,-15.533673
1.232143,-15.589183,-15.558253,-15.588862
1.392857,-15.591103,-15.553519,-15.590664
1.553571,-15.564876,-15.517945,-15.564211
1.714286,-15.524926,-15.465501,-15.523844
1.875000,-15.480114,-15.404444,-15.478273
2.035714,-15.436374,-15.340005,-15.433194
2.196429,-15.398061,-15.275718,-15.392780
2.357143,-15.368587,-15.214100,-15.361079
2.517857,-15.349952,-15.156992,-15.342349
2.678571,-15.340899,-15.105730,-15.335461
2.839286,-15.337484,-15.061262,-15.334178
3.000000,-15.336459,-15.024210,-15.334648
0.750000,-15.038381,-15.010660,-15.038040
0.910714,-15.379441,-15.354096,-15.379165
1.071429,-15.533944,-15.507179,-15.533673
1.232143,-15.589183,-15.558253,-15.588862
1.392857,-15.591103,-15.553519,-15.590664
1.553571,-15.564876,-15.517945,-15.564211
1.714286,-15.524926,-15.465501,-15.523844
1.875000,-15.480114,-15.404444,-15.478273
2.035714,-15.436374,-15.340005,-15.433194
2.196429,-15.398061,-15.275718,-15.392780
2.357143,-15.368587,-15.214100,-15.361079
2.517857,-15.349952,-15.156992,-15.342349
2.678571,-15.340899,-15.105730,-15.335461
2.839286,-15.337484,-15.061262,-15.334178
3.000000,-15.336459,-15.024210,-15.334648
